snapshot_date;offer_id;fipe_code;type;brand;model;version_raw;manufacture_year;model_year;price;city;state;store_code;store_name;source;version
2025-08-25;11380671;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Lauro de Freitas;BA;;Lauro de Freitas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11381573;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Rio de Janeiro;RJ;;Rio de Janeiro Campo Grande;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11381631;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Várzea Grande;MT;;Várzea Grande;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11381855;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Vila Ema;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11382712;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Campo Grande;MS;;Campo Grande;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11383064;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Belo Horizonte;MG;;Belo Horizonte Carlos Luz;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11383561;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Caxias do Sul;RS;;Caxias do Sul;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384074;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Nações Unidas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384297;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Caxias do Sul;RS;;Caxias do Sul;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384319;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Blumenau;SC;;Blumenau;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384381;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Canoas;RS;;Canoas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384407;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Belo Horizonte;MG;;Belo Horizonte Antonio Carlos;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384617;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Belo Horizonte;MG;;Belo Horizonte Antonio Carlos;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384684;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Bauru;SP;;Bauru;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384662;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Maringá;PR;;Maringá;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384693;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Gastão Vidigal;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384681;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Fortaleza;CE;;Fortaleza Av. Santos Dumont;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384805;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Juiz de Fora;MG;;Juiz de Fora;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384774;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Penha;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384822;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Taubaté;SP;;Taubaté;movida;kwid zen 1.0 flex 12v 5p mec.
