brand_norm;model_norm;version_norm;model_year;fipe_brand;fipe_model;fipe_code;score;match_source;first_seen;last_seen
fiat;argo;argo 1.0 flex mec;2025;fiat;argo 1.0 6v flex;001509-1;0.8405;contains;2025-08-25;2025-10-15
fiat;argo;argo drive 1.0 flex mec;2021;fiat;argo drive 1.0 6v flex;001494-0;0.879;contains;2025-08-25;2025-10-15
fiat;argo;argo drive 1.0 flex mec;2022;fiat;argo drive 1.0 6v flex;001494-0;0.879;contains;2025-08-25;2025-10-15
fiat;argo;argo drive 1.0 flex mec;2023;fiat;argo drive 1.0 6v flex;001494-0;0.879;contains;2025-08-25;2025-10-15
fiat;argo;argo drive 1.0 flex mec;2024;fiat;argo drive 1.0 6v flex;001494-0;0.879;contains;2025-08-25;2025-10-15
fiat;argo;argo drive 1.0 flex mec;2025;fiat;argo drive 1.0 6v flex;001494-0;0.879;contains;2025-08-25;2025-10-15
fiat;argo;argo drive flex aut 1.3 automatizado;2024;fiat;argo drive 1.3 8v flex aut.;001561-0;0.7614;contains;2025-09-26;2025-10-15
fiat;argo;argo drive flex aut 1.3 automatizado;2025;fiat;argo drive 1.3 8v flex aut.;001561-0;0.7614;contains;2025-09-26;2025-10-15
fiat;argo;argo flex 1.0 mec;2022;fiat;argo 1.0 6v flex;001509-1;0.7071;contains;2025-08-25;2025-09-15
fiat;argo;argo flex 1.0 mec;2023;fiat;argo 1.0 6v flex;001509-1;0.7071;contains;2025-08-25;2025-09-15
fiat;argo;argo flex 1.0 mec;2024;fiat;argo 1.0 6v flex;001509-1;0.7071;contains;2025-08-25;2025-09-15
fiat;argo;argo trekking 1.3 flex mec;2024;fiat;argo trekking 1.3 8v flex;001519-9;0.885;contains;2025-08-25;2025-10-10
fiat;argo;argo trekking 1.3 flex mec;2025;fiat;argo trekking 1.3 8v flex;001519-9;0.885;contains;2025-08-31;2025-10-06
fiat;cronos;cronos 1.3 flex mec;2022;fiat;cronos 1.3 8v flex;001506-7;0.8483;contains;2025-08-31;2025-10-15
fiat;cronos;cronos drive 1.0 flex mec;2023;fiat;cronos drive 1.0 6v flex;001553-9;0.8832;contains;2025-08-25;2025-10-15
fiat;cronos;cronos drive 1.0 flex mec;2024;fiat;cronos drive 1.0 6v flex;001553-9;0.8832;contains;2025-08-25;2025-10-15
