snapshot_date;offer_id;fipe_code;type;brand;model;version_raw;manufacture_year;model_year;price;city;state;store_code;store_name;source;version
2025-08-25;11395593;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Recife;PE;;Recife Caxangá;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11395606;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Porto Alegre;RS;;Porto Alegre Sarandi;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11395609;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Várzea Grande;MT;;Várzea Grande;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11395670;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Mogi das Cruzes;SP;;Mogi das Cruzes;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11395704;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Porto Alegre;RS;;Porto Alegre Sarandi;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11395726;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Vila Ema;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11395793;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Goiânia;GO;;Goiânia Mutirão;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11395794;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Campo Grande;MS;;Campo Grande;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11395841;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Campo Grande;MS;;Campo Grande;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11395827;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Porto Alegre;RS;;Porto Alegre Sarandi;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11395831;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Ribeirão Preto;SP;;Ribeirão Preto;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11395928;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Vitória;ES;;Vitória;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396049;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Penha;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396112;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Lauro de Freitas;BA;;Lauro de Freitas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396185;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Várzea Grande;MT;;Várzea Grande;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396180;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Vila Ema;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396203;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Lauro de Freitas;BA;;Lauro de Freitas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396336;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Itaim Paulista;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396310;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Uberlândia;MG;;Uberlândia;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396437;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Londrina;PR;;Londrina;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396421;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São José do Rio Preto;SP;;São José do Rio Preto;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396526;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Lauro de Freitas;BA;;Lauro de Freitas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396568;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Porto Alegre;RS;;Porto Alegre Ipiranga;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396580;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Porto Alegre;RS;;Porto Alegre Sarandi;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396636;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Vitória;ES;;Vitória;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396627;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Curitiba;PR;;Curitiba Floriano;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396711;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Cuiabá;MT;;Cuiabá;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396793;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Nações Unidas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396959;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Penha;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11397038;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Londrina;PR;;Londrina;movida;kwid zen 1.0 flex 12v 5p mec.
