"SNV.latitude","SNV.longitude","Min(SNV.SNV_Conces)","Min(SNV.Rodovia)","CountNonNull(SNV.km - SNV)"
-22.827,-43.617,"ECOVIAS RIO MINAS","BR-465-RJ",17.42
-22.826,-43.807,"ECOVIAS RIO MINAS","BR-493-RJ","113.77710843373494"
-22.826,-43.619,"ECOVIAS RIO MINAS","BR-465-RJ",17.19
-22.826,-43.618,"ECOVIAS RIO MINAS","BR-465-RJ",17.22
-22.825,-43.807,"ECOVIAS RIO MINAS","BR-493-RJ","113.67469879518072"
-22.825,-43.806,"ECOVIAS RIO MINAS","BR-493-RJ","113.66445783132529"
-22.825,-43.619,"ECOVIAS RIO MINAS","BR-465-RJ",17.07
-22.824,-43.806,"ECOVIAS RIO MINAS","BR-493-RJ","113.55180722891566"
-22.824,-43.62,"ECOVIAS RIO MINAS","BR-465-RJ",16.94
-22.824,-43.619,"ECOVIAS RIO MINAS","BR-465-RJ",17.01
-22.823,-43.806,"ECOVIAS RIO MINAS","BR-493-RJ","113.4289156626506"
-22.823,-43.62,"ECOVIAS RIO MINAS","BR-465-RJ","16.810000000000002"
-22.822,-43.806,"ECOVIAS RIO MINAS","BR-493-RJ","113.3367469879518"
-22.822,-43.805,"ECOVIAS RIO MINAS","BR-493-RJ","113.31626506024097"
-22.822,-43.621,"ECOVIAS RIO MINAS","BR-465-RJ",16.69
-22.822,-43.62,"ECOVIAS RIO MINAS","BR-465-RJ",16.8
-22.821,-43.805,"ECOVIAS RIO MINAS","BR-493-RJ","113.1933734939759"
-22.821,-43.622,"ECOVIAS RIO MINAS","BR-465-RJ","16.560000000000002"
-22.821,-43.621,"ECOVIAS RIO MINAS","BR-465-RJ",16.59
-22.82,-43.805,"ECOVIAS RIO MINAS","BR-493-RJ","113.08072289156627"
-22.82,-43.804,"ECOVIAS RIO MINAS","BR-493-RJ","113.07048192771084"
-22.82,-43.622,"ECOVIAS RIO MINAS","BR-465-RJ",16.44
-22.82,-43.317,"ECOVIAS RIO MINAS","BR-116-RJ","168.17252124645893"
-22.82,-43.316,"ECOVIAS RIO MINAS","BR-116-RJ",168.1
-22.819,-43.804,"ECOVIAS RIO MINAS","BR-493-RJ","112.94759036144578"
-22.819,-43.623,"ECOVIAS RIO MINAS","BR-465-RJ","16.310000000000002"
-22.819,-43.622,"ECOVIAS RIO MINAS","BR-465-RJ","16.380000000000003"
-22.819,-43.32,"ECOVIAS RIO MINAS","BR-116-RJ","168.47167138810198"
-22.819,-43.319,"ECOVIAS RIO MINAS","BR-116-RJ","168.37195467422094"
-22.819,-43.318,"ECOVIAS RIO MINAS","BR-116-RJ","168.27223796033994"
